education,hours-per-week,sex,age,race,workclass,Major_Group
Bachelors,40,Male,39,White,State-gov,Business
Bachelors,13,Male,50,White,Self-emp-not-inc,Business
HS-grad,40,Male,38,White,Private,Other
Less than HS,40,Male,53,Black,Private,Other
Bachelors,40,Female,28,Black,Private,Health
Masters,40,Female,37,White,Private,Other
Less than HS,16,Female,49,Black,Private,Other
HS-grad,45,Male,52,White,Self-emp-not-inc,Other
Masters,50,Female,31,White,Private,Health
Bachelors,40,Male,42,White,Private,Business
Some-college,80,Male,37,Black,Private,Business
Bachelors,40,Male,30,Asian-Pac-Islander,State-gov,Health
Bachelors,30,Female,23,White,Private,Business
Assoc-acdm,50,Male,32,Black,Private,Industrial Arts & Consumer Services
Less than HS,45,Male,34,Amer-Indian-Eskimo,Private,Other
HS-grad,35,Male,25,White,Self-emp-not-inc,Other
HS-grad,40,Male,32,White,Private,Other
Less than HS,50,Male,38,White,Private,Other
Masters,45,Female,43,White,Self-emp-not-inc,Other
Doctorate,60,Male,40,White,Private,Other
HS-grad,20,Female,54,Black,Private,Other
Less than HS,40,Male,35,Black,Federal-gov,Other
Less than HS,40,Male,43,White,Private,Other
HS-grad,40,Female,59,White,Private,Other
Bachelors,40,Male,56,White,Local-gov,Engineering
HS-grad,40,Male,19,White,Private,Other
HS-grad,80,Male,39,White,Private,Other
HS-grad,40,Male,49,White,Private,Other
Assoc-acdm,52,Male,23,White,Local-gov,Industrial Arts & Consumer Services
Some-college,44,Male,20,Black,Private,Business
Bachelors,40,Male,45,White,Private,Business
Some-college,40,Male,30,White,Federal-gov,Business
Some-college,15,Male,22,Black,State-gov,Other
Less than HS,40,Male,48,White,Private,Other
Some-college,40,Male,21,White,Private,Other
HS-grad,25,Female,19,White,Private,Other
Assoc-acdm,40,Male,48,White,Self-emp-not-inc,Industrial Arts & Consumer Services
Less than HS,43,Male,31,White,Private,Other
Bachelors,40,Male,53,White,Self-emp-not-inc,Health
Bachelors,50,Male,24,White,Private,Engineering
HS-grad,40,Female,49,White,Private,Other
HS-grad,35,Male,25,White,Private,Other
Bachelors,40,Male,57,Black,Federal-gov,Health
HS-grad,38,Male,53,White,Private,Other
Masters,40,Female,44,White,Private,Other
Assoc-voc,40,Male,41,White,State-gov,Industrial Arts & Consumer Services
Assoc-voc,43,Male,29,White,Private,Industrial Arts & Consumer Services
Some-college,40,Female,25,Other,Private,Business
Prof-school,60,Female,47,White,Private,Law & Public Policy
Bachelors,55,Male,50,White,Federal-gov,Business
HS-grad,60,Male,47,White,Self-emp-inc,Other
Some-college,40,Male,43,White,Private,Engineering
Less than HS,40,Male,46,White,Private,Other
Assoc-voc,40,Male,35,White,Private,Industrial Arts & Consumer Services
HS-grad,48,Male,41,White,Private,Other
HS-grad,40,Male,30,White,Private,Other
Bachelors,40,Male,30,White,Private,Business
HS-grad,40,Male,48,White,Private,Other
Doctorate,45,Male,42,White,Private,Other
Some-college,58,Male,29,White,Private,Engineering
HS-grad,40,Male,36,White,Private,Other
Some-college,40,Female,28,White,Private,Business
HS-grad,40,Female,53,White,Private,Other
Some-college,50,Male,49,White,Self-emp-inc,Business
Some-college,32,Male,19,White,Private,Health
Bachelors,40,Female,31,Black,Private,Business
Bachelors,70,Male,29,White,Self-emp-not-inc,Business
Some-college,40,Male,23,White,Private,Other
Some-college,20,Male,79,White,Private,Health
HS-grad,40,Male,27,White,Private,Other
Assoc-acdm,40,Male,40,White,Private,Industrial Arts & Consumer Services
Less than HS,22,Female,18,White,Private,Other
Less than HS,40,Male,31,White,Local-gov,Other
HS-grad,30,Male,18,White,Private,Other
Bachelors,40,Male,52,White,Private,Other
HS-grad,40,Female,46,White,Private,Other
HS-grad,48,Male,59,White,Private,Other
HS-grad,40,Female,44,White,Private,Other
HS-grad,35,Female,53,White,Private,Other
HS-grad,40,Male,49,White,Local-gov,Other
Masters,50,Male,33,White,Private,Health
Less than HS,40,Male,30,White,Private,Other
Doctorate,50,Female,43,White,Federal-gov,Other
Assoc-voc,40,Male,57,White,Private,Industrial Arts & Consumer Services
Some-college,40,Female,37,White,Private,Engineering
Some-college,25,Female,28,Black,Private,Other
Bachelors,40,Male,34,White,Local-gov,Business
Some-college,50,Male,29,White,Local-gov,Other
Doctorate,60,Male,48,White,Self-emp-not-inc,Other
Some-college,48,Male,37,White,Private,Business
Assoc-acdm,40,Female,48,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Male,32,Black,Federal-gov,Other
Masters,40,Male,76,White,Private,Other
Bachelors,60,Male,44,White,Private,Business
Masters,50,Female,47,White,Self-emp-not-inc,Health
Some-college,40,Female,20,White,Private,Engineering
HS-grad,40,Male,29,White,Private,Other
HS-grad,40,Male,32,White,Self-emp-inc,Other
Less than HS,40,Male,30,White,Private,Other
HS-grad,40,Female,31,White,Local-gov,Other
HS-grad,40,Male,42,White,Private,Other
Bachelors,40,Male,24,White,Private,Business
Prof-school,40,Male,38,White,Private,Law & Public Policy
HS-grad,50,Male,56,White,Self-emp-not-inc,Other
Some-college,25,Female,28,White,Private,Business
HS-grad,40,Female,36,White,Private,Other
Less than HS,50,Male,53,White,Private,Other
Some-college,50,Male,56,White,Self-emp-inc,Business
Assoc-voc,40,Male,49,Black,Local-gov,Industrial Arts & Consumer Services
Some-college,56,Male,55,White,Private,Business
HS-grad,41,Male,22,White,Private,Other
Some-college,40,Female,21,White,Private,Other
Bachelors,60,Male,40,White,Private,Business
Bachelors,40,Male,30,Black,Private,Business
Bachelors,50,Male,29,White,State-gov,Health
Some-college,35,Male,19,Black,Private,Other
Bachelors,40,Female,47,White,Private,Business
Some-college,28,Female,20,White,Private,Business
Assoc-acdm,40,Male,31,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,39,White,Private,Engineering
Assoc-acdm,60,Female,28,White,Private,Industrial Arts & Consumer Services
HS-grad,40,Female,24,White,Private,Other
HS-grad,35,Male,38,White,Self-emp-not-inc,Other
Bachelors,50,Male,37,White,Private,Business
Assoc-acdm,36,Female,46,Black,Private,Industrial Arts & Consumer Services
Masters,40,Male,38,White,Federal-gov,Health
HS-grad,60,Male,43,White,Self-emp-not-inc,Other
Assoc-voc,35,Female,27,White,Private,Industrial Arts & Consumer Services
Some-college,20,Male,20,White,Private,Business
Some-college,40,Male,49,Asian-Pac-Islander,Private,Engineering
HS-grad,40,Male,61,White,Self-emp-inc,Other
Some-college,40,Female,27,White,Private,Business
Some-college,30,Male,19,White,Private,Other
Assoc-voc,40,Female,45,White,Private,Industrial Arts & Consumer Services
Some-college,40,Male,70,White,Private,Engineering
HS-grad,30,Female,31,Black,Private,Other
Some-college,24,Male,22,White,Private,Other
HS-grad,24,Female,36,White,Private,Other
Less than HS,40,Male,64,White,Private,Other
Some-college,38,Female,47,White,Local-gov,Business
HS-grad,40,Female,34,White,Private,Other
Bachelors,40,Female,33,Asian-Pac-Islander,Private,Business
HS-grad,35,Male,21,White,Private,Other
HS-grad,46,Male,48,White,Private,Other
